congress,state,name,cs1,nominee,vote,presprty,sameprty,strngprs,nomid,regime_dummy,lackqual,pres,cspres1,cspres2,csnom,eucldist,interaction
109,TENNESS,ALEXANDER,,ALITO,yes,rep,same,strong,0.1,1,0.19,BushII,0.486,-0.291,,,
111,TENNESS,ALEXANDER,,SOTOMAYOR,yes,dem,0,strong,0.78,1,0.19,Obama,-0.294,-0.313,,,
111,TENNESS,ALEXANDER,,KAGAN,no,dem,0,strong,0.73,1,0.27,Obama,-0.294,-0.313,,,
115,TENNESS,ALEXANDER,,GORSUCH,yes,rep,same,strong,0.11,1,0.07,Trump,,,,,
115,TENNESS,ALEXANDER,,KAVANAUGH,yes,rep,same,strong,,1,,Trump,,,,,
109,COLORAD,ALLARD,0.51899999,ROBERTS,yes,rep,same,strong,0.119999997,1,0.029999999,BushII,0.486,-0.291,0.34020784,0.031966634,0.000958999
109,COLORAD,ALLARD,,ALITO,yes,rep,same,strong,0.1,1,0.19,BushII,0.486,-0.291,,,
91,ALABAMA,ALLEN,0.176,BURGER,yes,rep,0,weak,0.115000002,0,0.040000021,Nixon,,,0.3448121,0.028497525,0.001139902
91,ALABAMA,ALLEN,0.176,HAYNSWORTH,yes,rep,0,weak,0.159999996,0,0.66499996,Nixon,0.378,-0.62,0.30337402,0.016224142,0.010789054
91,ALABAMA,ALLEN,0.176,CARSWELL,yes,rep,0,weak,0.039999999,0,0.88999999,Nixon,0.378,-0.62,0.41387555,0.056584779,0.050360452
91,ALABAMA,ALLEN,0.176,BLACKMUN,yes,rep,0,weak,0.115000002,0,0.029999971,Nixon,0.378,-0.62,0.3448121,0.028497525,0.000854925
109,VIRGINI,ALLEN,0.37400001,ROBERTS,yes,rep,same,strong,0.119999997,1,0.029999999,BushII,0.486,-0.291,0.34020784,0.001141911,3.43E-05
109,VIRGINI,ALLEN,,ALITO,yes,rep,same,strong,0.1,1,0.19,BushII,0.486,-0.291,,,
92,ALABAMA,ALLEN J,0.176,POWELL,yes,rep,0,weak,0.165000007,0,0,Nixon,0.378,-0.62,0.29876977,0.015072417,0
92,ALABAMA,ALLEN J,0.176,REHNQUIST1,yes,rep,0,weak,0.045000002,0,0.11500001,Nixon,0.378,-0.62,0.40927133,0.054415513,0.006257785
84,COLORAD,ALLOTT,0.252,HARLAN,yes,rep,same,weak,0.875,0,0.25,Eisenhower,0.176,-0.605,-0.35503101,0.36848664,0.092121661
85,COLORAD,ALLOTT,0.252,BRENNAN,yes,rep,same,weak,1,0,0,Eisenhower,0.176,-0.605,-0.47013679,0.52148157,0
85,COLORAD,ALLOTT,0.252,WHITTAKER,yes,rep,same,weak,0.5,0,0,Eisenhower,0.176,-0.605,-0.0097137,0.068494067,0
87,COLORAD,ALLOTT,0.252,WHITE,yes,dem,0,strong,0.5,0,0.5,Kennedy,-0.485,0.003,-0.0097137,0.068494067,0.034247033
87,COLORAD,ALLOTT,0.252,GOLDBERG,yes,dem,0,strong,0.75,0,0.084999979,Kennedy,-0.485,0.003,-0.23992525,0.24199046,0.020569185
89,COLORAD,ALLOTT,0.252,FORTAS1,yes,dem,0,strong,1,0,0,Johnson,-0.326,0.018,-0.47013679,0.52148157,0
90,COLORAD,ALLOTT,0.252,MARSHAL,yes,dem,0,strong,1,0,0.16500002,Johnson,-0.326,0.018,-0.47013679,0.52148157,0.086044468
90,COLORAD,ALLOTT,0.252,FORTAS2,no,dem,0,weak,0.845000029,0,0.36500001,Johnson,-0.326,0.018,-0.32740566,0.33571091,0.12253448
91,COLORAD,ALLOTT,0.252,BURGER,yes,rep,same,weak,0.115000002,0,0.040000021,Nixon,0.378,-0.62,0.3448121,0.008614085,0.000344564
91,COLORAD,ALLOTT,0.252,HAYNSWORTH,yes,rep,same,weak,0.159999996,0,0.66499996,Nixon,0.378,-0.62,0.30337402,0.00263929,0.001755128
91,COLORAD,ALLOTT,0.252,CARSWELL,yes,rep,same,weak,0.039999999,0,0.88999999,Nixon,0.378,-0.62,0.41387555,0.026203692,0.023321286
91,COLORAD,ALLOTT,0.252,BLACKMUN,yes,rep,same,weak,0.115000002,0,0.029999971,Nixon,0.378,-0.62,0.3448121,0.008614085,0.000258422
92,COLORAD,ALLOTT G,0.252,POWELL,yes,rep,same,weak,0.165000007,0,0,Nixon,0.378,-0.62,0.29876977,0.002187411,0
92,COLORAD,ALLOTT G,0.252,REHNQUIST1,yes,rep,same,weak,0.045000002,0,0.11500001,Nixon,0.378,-0.62,0.40927133,0.02473427,0.002844441
81,NEW MEX,ANDERSON,-0.207,CLARK,yes,dem,same,strong,0.5,0,0.875,Truman,,,-0.0097137,0.038921885,0.034056649
81,NEW MEX,ANDERSON,-0.207,MINTON,yes,dem,same,strong,0.720000029,0,0.64499998,Truman,,,-0.21229988,2.81E-05,1.81E-05
83,NEW MEX,ANDERSON,-0.207,WARREN,yes,rep,0,strong,0.75,0,0.14499998,Eisenhower,0.176,-0.605,-0.23992525,0.001084072,0.00015719
85,NEW MEX,ANDERSON,-0.207,BRENNAN,yes,rep,0,weak,1,0,0,Eisenhower,0.176,-0.605,-0.47013679,0.069240972,0
85,NEW MEX,ANDERSON,-0.207,WHITTAKER,yes,rep,0,weak,0.5,0,0,Eisenhower,0.176,-0.605,-0.0097137,0.038921885,0
86,NEW MEX,ANDERSON,-0.207,STEWART,yes,rep,0,weak,0.75,0,0,Eisenhower,0.176,-0.605,-0.23992525,0.001084072,0
87,NEW MEX,ANDERSON,-0.207,WHITE,yes,dem,same,strong,0.5,0,0.5,Kennedy,-0.485,0.003,-0.0097137,0.038921885,0.019460943
87,NEW MEX,ANDERSON,-0.207,GOLDBERG,yes,dem,same,strong,0.75,0,0.084999979,Kennedy,-0.485,0.003,-0.23992525,0.001084072,9.21E-05
89,NEW MEX,ANDERSON,-0.207,FORTAS1,yes,dem,same,strong,1,0,0,Johnson,-0.326,0.018,-0.47013679,0.069240972,0
90,NEW MEX,ANDERSON,-0.207,MARSHAL,yes,dem,same,strong,1,0,0.16500002,Johnson,-0.326,0.018,-0.47013679,0.069240972,0.011424762
90,NEW MEX,ANDERSON,-0.207,FORTAS2,yes,dem,same,weak,0.845000029,0,0.36500001,Johnson,-0.326,0.018,-0.32740566,0.014497523,0.005291596
91,NEW MEX,ANDERSON,-0.207,BURGER,yes,rep,0,weak,0.115000002,0,0.040000021,Nixon,0.378,-0.62,0.3448121,0.30449659,0.01217987
91,NEW MEX,ANDERSON,-0.207,HAYNSWORTH,no,rep,0,weak,0.159999996,0,0.66499996,Nixon,0.378,-0.62,0.30337402,0.26048166,0.17322029
91,NEW MEX,ANDERSON,-0.207,BLACKMUN,yes,rep,0,weak,0.115000002,0,0.029999971,Nixon,0.378,-0.62,0.3448121,0.30449659,0.009134889
84,NEW MEX,ANDERSON C,-0.207,HARLAN,yes,rep,0,weak,0.875,0,0.25,Eisenhower,0.176,-0.605,-0.35503101,0.02191318,0.005478295
92,NEW MEX,ANDERSON C,-0.207,POWELL,yes,rep,0,weak,0.165000007,0,0,Nixon,0.378,-0.62,0.29876977,0.25580308,0
75,FLORIDA,ANDREWS,-0.2,BLACK,yes,dem,same,strong,0.875,0,0.84000003,Roosevelt,,,-0.35503101,0.024034614,0.020189077
75,FLORIDA,ANDREWS,-0.2,REED,yes,dem,same,strong,0.725000024,0,0.125,Roosevelt,,,-0.21690412,0.000285749,3.57E-05
76,FLORIDA,ANDREWS,-0.2,FRANKFURTER,yes,dem,same,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,0.001470467,5.15E-05
76,FLORIDA,ANDREWS,-0.2,DOUGLAS,yes,dem,same,strong,0.730000019,0,0.18000001,Roosevelt,,,-0.22150834,0.000462609,8.33E-05
76,FLORIDA,ANDREWS,-0.2,MURPHY,yes,dem,same,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.072973885,0.025540862
77,FLORIDA,ANDREWS,-0.2,STONE,yes,dem,same,strong,0.3,0,0,Roosevelt,,,0.17445554,0.14021695,0
77,FLORIDA,ANDREWS,-0.2,BYRNES,yes,dem,same,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.12029116,0.02405823
77,FLORIDA,ANDREWS,-0.2,JACKSON,yes,dem,same,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.072973885,0.006202783
78,FLORIDA,ANDREWS,-0.2,RUTLEDGE,yes,dem,same,strong,1,0,0,Roosevelt,,,-0.47013679,0.072973885,0
79,FLORIDA,ANDREWS,-0.2,BURTON,yes,dem,same,strong,0.280000001,0,0.069999993,Truman,,,0.19287246,0.15434878,0.010804413
79,FLORIDA,ANDREWS,-0.2,VINSON,yes,dem,same,strong,0.75,0,0.21500003,Truman,,,-0.23992525,0.001594025,0.000342716
97,NORTH D,ANDREWS M,0.096000001,OCONNOR,yes,rep,same,strong,0.414999992,0,0,Reagan,0.538,-0.508,0.068558231,0.000753051,0
99,NORTH D,ANDREWS M,0.096000001,REHNQUIST2,yes,rep,same,strong,0.045000002,0,0.60000002,Reagan,0.538,-0.508,0.40927133,0.098138928,0.058883358
99,NORTH D,ANDREWS M,0.096000001,SCALIA,yes,rep,same,strong,0,0,0,Reagan,0.538,-0.508,0.4507094,0.12581876,0
97,COLORAD,ARMSTRONG,0.50700003,OCONNOR,yes,rep,same,strong,0.414999992,0,0,Reagan,0.538,-0.508,0.068558231,0.19223121,0
99,COLORAD,ARMSTRONG,0.50700003,REHNQUIST2,yes,rep,same,strong,0.045000002,0,0.60000002,Reagan,0.538,-0.508,0.40927133,0.009550898,0.005730539
99,COLORAD,ARMSTRONG,0.50700003,SCALIA,yes,rep,same,strong,0,0,0,Reagan,0.538,-0.508,0.4507094,0.003168635,0
100,COLORAD,ARMSTRONG,0.50700003,BORK,yes,rep,same,weak,0.094999999,1,0.20999998,Reagan,0.538,-0.508,0.36322901,0.020670107,0.004340722
100,COLORAD,ARMSTRONG,0.50700003,KENNEDY,yes,rep,same,weak,0.36500001,1,0.11000001,Reagan,0.538,-0.508,0.11460053,0.15397736,0.016937513
101,COLORAD,ARMSTRONG,0.50700003,SOUTER,yes,rep,0,weak,0.324999988,1,0.23500001,BushI,0.492,-0.459,0.15143439,0.12642692,0.029710328
75,ARIZONA,ASHURST,-0.15700001,BLACK,yes,dem,same,strong,0.875,0,0.84000003,Roosevelt,,,-0.35503101,0.03921628,0.032941677
75,ARIZONA,ASHURST,-0.15700001,REED,yes,dem,same,strong,0.725000024,0,0.125,Roosevelt,,,-0.21690412,0.003588503,0.000448563
76,ARIZONA,ASHURST,-0.15700001,FRANKFURTER,yes,dem,same,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,2.17E-05,7.58E-07
76,ARIZONA,ASHURST,-0.15700001,DOUGLAS,yes,dem,same,strong,0.730000019,0,0.18000001,Roosevelt,,,-0.22150834,0.004161325,0.000749039
76,ARIZONA,ASHURST,-0.15700001,MURPHY,yes,dem,same,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.098054647,0.034319129
75,VERMONT,AUSTIN,0.15099999,BLACK,no,dem,0,strong,0.875,0,0.84000003,Roosevelt,,,-0.35503101,0.25606737,0.21509659
75,VERMONT,AUSTIN,0.15099999,REED,yes,dem,0,strong,0.725000024,0,0.125,Roosevelt,,,-0.21690412,0.13535343,0.016919179
76,VERMONT,AUSTIN,0.15099999,FRANKFURTER,yes,dem,0,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,0.097752109,0.003421321
76,VERMONT,AUSTIN,0.15099999,DOUGLAS,yes,dem,0,strong,0.730000019,0,0.18000001,Roosevelt,,,-0.22150834,0.13876246,0.024977244
76,VERMONT,AUSTIN,0.15099999,MURPHY,yes,dem,0,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.38581091,0.13503383
77,VERMONT,AUSTIN,0.15099999,STONE,yes,dem,0,strong,0.3,0,0,Roosevelt,,,0.17445554,0.000550163,0
77,VERMONT,AUSTIN,0.15099999,BYRNES,yes,dem,0,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,1.74E-05,3.48E-06
77,VERMONT,AUSTIN,0.15099999,JACKSON,yes,dem,0,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.38581091,0.032793943
78,VERMONT,AUSTIN,0.15099999,RUTLEDGE,yes,dem,0,strong,1,0,0,Roosevelt,,,-0.47013679,0.38581091,0
79,VERMONT,AUSTIN,0.15099999,BURTON,yes,dem,0,strong,0.280000001,0,0.069999993,Truman,,,0.19287246,0.001753304,0.000122731
79,VERMONT,AUSTIN,0.15099999,VINSON,yes,dem,0,strong,0.75,0,0.21500003,Truman,,,-0.23992525,0.15282254,0.032856852
75,NORTH C,BAILEY,-0.013,REED,yes,dem,same,strong,0.725000024,0,0.125,Roosevelt,,,-0.21690412,0.041576888,0.005197111
76,NORTH C,BAILEY,-0.013,FRANKFURTER,yes,dem,same,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,0.022097815,0.000773423
76,NORTH C,BAILEY,-0.013,MURPHY,yes,dem,same,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.20897405,0.073140919
77,NORTH C,BAILEY,-0.013,STONE,yes,dem,same,strong,0.3,0,0,Roosevelt,,,0.17445554,0.035139579,0
77,NORTH C,BAILEY,-0.013,BYRNES,yes,dem,same,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.025545679,0.005109136
77,NORTH C,BAILEY,-0.013,JACKSON,yes,dem,same,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.20897405,0.017762803
78,NORTH C,BAILEY,-0.013,RUTLEDGE,yes,dem,same,strong,1,0,0,Roosevelt,,,-0.47013679,0.20897405,0
79,NORTH C,BAILEY,-0.013,BURTON,yes,dem,same,strong,0.280000001,0,0.069999993,Truman,,,0.19287246,0.042383473,0.002966843
79,NORTH C,BAILEY,-0.013,VINSON,yes,dem,same,strong,0.75,0,0.21500003,Truman,,,-0.23992525,0.051495068,0.011071442
90,TENNESS,BAKER,0.23800001,MARSHAL,yes,dem,0,strong,1,0,0.16500002,Johnson,-0.326,0.018,-0.47013679,0.50145775,0.082740538
90,TENNESS,BAKER,0.23800001,FORTAS2,no,dem,0,weak,0.845000029,0,0.36500001,Johnson,-0.326,0.018,-0.32740566,0.31968358,0.11668451
91,TENNESS,BAKER,0.23800001,BURGER,yes,rep,same,weak,0.115000002,0,0.040000021,Nixon,0.378,-0.62,0.3448121,0.011408823,0.000456353
91,TENNESS,BAKER,0.23800001,HAYNSWORTH,yes,rep,same,weak,0.159999996,0,0.66499996,Nixon,0.378,-0.62,0.30337402,0.004273762,0.002842052
91,TENNESS,BAKER,0.23800001,CARSWELL,yes,rep,same,weak,0.039999999,0,0.88999999,Nixon,0.378,-0.62,0.41387555,0.030932207,0.027529664
91,TENNESS,BAKER,0.23800001,BLACKMUN,yes,rep,same,weak,0.115000002,0,0.029999971,Nixon,0.378,-0.62,0.3448121,0.011408823,0.000342264
94,TENNESS,BAKER,0.23800001,STEVENS,yes,rep,same,weak,0.25,0,0.040000021,Ford,0.372,-0.619,0.22049785,0.000306326,1.23E-05
97,TENNESS,BAKER H,0.23800001,OCONNOR,yes,rep,same,strong,0.414999992,0,0,Reagan,0.538,-0.508,0.068558231,0.028710514,0
92,TENNESS,BAKER H,0.23800001,POWELL,yes,rep,same,weak,0.165000007,0,0,Nixon,0.378,-0.62,0.29876977,0.003692965,0
92,TENNESS,BAKER H,0.23800001,REHNQUIST1,yes,rep,same,weak,0.045000002,0,0.11500001,Nixon,0.378,-0.62,0.40927133,0.029333867,0.003373395
81,CONNECT,BALDWIN,0.207,MINTON,yes,dem,0,strong,0.720000029,0,0.64499998,Truman,,,-0.21229988,0.17581239,0.11339899
115,WISCONS,BALDWIN,,GORSUCH,no,rep,0,strong,0.11,1,0.07,Trump,,,,,
115,WISCONS,BALDWIN,,KAVANAUGH,no,rep,0,strong,,1,,Trump,,,,,
77,MINNESO,BALL,0.22400001,STONE,yes,dem,0,strong,0.3,0,0,Roosevelt,,,0.17445554,0.002454654,0
77,MINNESO,BALL,0.22400001,BYRNES,yes,dem,0,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.005955186,0.001191037
77,MINNESO,BALL,0.22400001,JACKSON,yes,dem,0,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.48182589,0.040955219
78,MINNESO,BALL,0.22400001,RUTLEDGE,yes,dem,0,strong,1,0,0,Roosevelt,,,-0.47013679,0.48182589,0
79,MINNESO,BALL,0.22400001,BURTON,yes,dem,0,strong,0.280000001,0,0.069999993,Truman,,,0.19287246,0.000968924,6.78E-05
79,MINNESO,BALL,0.22400001,VINSON,yes,dem,0,strong,0.75,0,0.21500003,Truman,,,-0.23992525,0.21522665,0.046273738
75,ALABAMA,BANKHEAD,-0.248,BLACK,yes,dem,same,strong,0.875,0,0.84000003,Roosevelt,,,-0.35503101,0.011455638,0.009622737
75,ALABAMA,BANKHEAD,-0.248,REED,yes,dem,same,strong,0.725000024,0,0.125,Roosevelt,,,-0.21690412,0.000966954,0.000120869
76,ALABAMA,BANKHEAD,-0.248,FRANKFURTER,yes,dem,same,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,0.007455745,0.000260951
76,ALABAMA,BANKHEAD,-0.248,MURPHY,yes,dem,same,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.049344756,0.017270666
77,ALABAMA,BANKHEAD,-0.248,STONE,yes,dem,same,strong,0.3,0,0,Roosevelt,,,0.17445554,0.17846867,0
77,ALABAMA,BANKHEAD,-0.248,BYRNES,yes,dem,same,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.15589085,0.031178169
77,ALABAMA,BANKHEAD,-0.248,JACKSON,yes,dem,same,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.049344756,0.004194306
78,ALABAMA,BANKHEAD,-0.248,RUTLEDGE,yes,dem,same,strong,1,0,0,Roosevelt,,,-0.47013679,0.049344756,0
79,ALABAMA,BANKHEAD,-0.248,BURTON,yes,dem,same,strong,0.280000001,0,0.069999993,Truman,,,0.19287246,0.19436853,0.013605796
76,NEW JER,BARBOUR,0.132,FRANKFURTER,yes,dem,0,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,0.086232282,0.003018127
76,NEW JER,BARBOUR,0.132,DOUGLAS,yes,dem,0,strong,0.730000019,0,0.18000001,Roosevelt,,,-0.22150834,0.12496815,0.022494268
76,NEW JER,BARBOUR,0.132,MURPHY,yes,dem,0,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.36256871,0.12689905
77,NEW JER,BARBOUR,0.132,STONE,yes,dem,0,strong,0.3,0,0,Roosevelt,,,0.17445554,0.001802473,0
77,NEW JER,BARBOUR,0.132,BYRNES,yes,dem,0,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.000219934,4.40E-05
77,NEW JER,BARBOUR,0.132,JACKSON,yes,dem,0,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.36256871,0.030818354
78,NEW JER,BARBOUR,0.132,RUTLEDGE,yes,dem,0,strong,1,0,0,Roosevelt,,,-0.47013679,0.36256871,0
75,KENTUCK,BARKLEY,-0.426,BLACK,yes,dem,same,strong,0.875,0,0.84000003,Roosevelt,,,-0.35503101,0.005036597,0.004230742
75,KENTUCK,BARKLEY,-0.426,REED,yes,dem,same,strong,0.725000024,0,0.125,Roosevelt,,,-0.21690412,0.043721087,0.005465136
76,KENTUCK,BARKLEY,-0.426,FRANKFURTER,yes,dem,same,strong,0.665000021,0,0.034999967,Roosevelt,,,-0.16165334,0.069879159,0.002445768
76,KENTUCK,BARKLEY,-0.426,DOUGLAS,yes,dem,same,strong,0.730000019,0,0.18000001,Roosevelt,,,-0.22150834,0.041816838,0.007527031
76,KENTUCK,BARKLEY,-0.426,MURPHY,yes,dem,same,weak,1,0,0.35000002,Roosevelt,,,-0.47013679,0.001948056,0.00068182
77,KENTUCK,BARKLEY,-0.426,STONE,yes,dem,same,strong,0.3,0,0,Roosevelt,,,0.17445554,0.36054686,0
77,KENTUCK,BARKLEY,-0.426,BYRNES,yes,dem,same,strong,0.33,0,0.19999999,Roosevelt,,,0.14683016,0.32813439,0.065626875
77,KENTUCK,BARKLEY,-0.426,JACKSON,yes,dem,same,strong,1,0,0.085000038,Roosevelt,,,-0.47013679,0.001948056,0.000165585
78,KENTUCK,BARKLEY,-0.426,RUTLEDGE,yes,dem,same,strong,1,0,0,Roosevelt,,,-0.47013679,0.001948056,0
